MergeSort:		QuickSort		IntroSort

0.064607		0.045967		0.02366
0.066134		0.048777		0.023916
0.058817		0.045399		0.023868
0.061163		0.045248		0.023622
0.059909		0.047861		0.024995
0.059687		0.047643		0.025301
0.059533		0.050274		0.024259
0.059669		0.046242		0.023874
0.059807		0.047789		0.024593
0.059285		0.045863		0.023941
0.058017		0.04569		0.025511
0.060456		0.050802		0.026467
0.061454		0.047842		0.025145
0.059631		0.048182		0.026504
0.064727		0.051654		0.027044
0.060458		0.045871		0.023887
0.060032		0.050006		0.027469
0.061209		0.045964		0.023688
0.059732		0.047808		0.024879
0.05992		0.047837		0.024855
0.059308		0.04539		0.024089
0.059097		0.045367		0.024757
0.066538		0.048364		0.025041
0.06		0.048128		0.025078
0.057793		0.045919		0.02378
0.057352		0.045377		0.023752
0.059707		0.048064		0.025077
0.063221		0.051376		0.024349
0.059524		0.045485		0.023614
0.05973		0.048256		0.024863
0.059677		0.047884		0.02492
0.05989		0.047987		0.024981
0.060586		0.050628		0.025573
0.060041		0.047802		0.02492
0.059994		0.047835		0.024909
0.059784		0.048048		0.023848
0.059295		0.045138		0.023716
0.060005		0.051157		0.027254
0.060436		0.045916		0.023908
0.057502		0.045838		0.023817
0.057582		0.045209		0.023599
0.059026		0.045509		0.023632
0.058166		0.045368		0.024548
0.063914		0.045997		0.023834
0.059674		0.048044		0.024605
0.059217		0.044949		0.023553
0.060017		0.045517		0.023629
0.060213		0.046664		0.025088
0.062684		0.050724		0.025025
0.059899		0.047802		0.024978
0.059459		0.045545		0.024009
0.059241		0.045261		0.023549
0.059433		0.045278		0.023414
0.059934		0.05145		0.026758
0.060303		0.048318		0.024777
0.059585		0.045294		0.023457
0.059649		0.04798		0.024762
0.05969		0.047794		0.025488
0.060453		0.049889		0.02657
0.061959		0.048182		0.025017
0.059703		0.047752		0.025043
0.059886		0.047856		0.025017
0.060054		0.045154		0.023762
0.059195		0.044908		0.024699
0.064655		0.047759		0.025006
0.059726		0.048372		0.025056
0.059207		0.045283		0.023703
0.059867		0.047822		0.024935
0.059722		0.04804		0.025022
0.064469		0.050225		0.024676
0.059737		0.047791		0.024993
0.059696		0.047956		0.024918
0.059667		0.047674		0.02401
0.060223		0.046838		0.023684
0.061466		0.050661		0.02442
0.059717		0.047841		0.025102
0.059463		0.045546		0.024863
0.062164		0.045643		0.023631
0.059695		0.047836		0.025101
0.059286		0.049632		0.027836
0.059724		0.045994		0.02364
0.059124		0.045256		0.023698
0.059215		0.045211		0.0236
0.059819		0.047907		0.024934
0.060265		0.047726		0.026537
0.062816		0.047731		0.02488
0.05979		0.047832		0.024869
0.059716		0.047193		0.023656
0.060167		0.046276		0.023597
0.059952		0.047916		0.024865
0.06434		0.048937		0.025047
0.059334		0.045369		0.024065
0.059389		0.045417		0.023587
0.059758		0.047781		0.024972
0.059829		0.047789		0.024866
0.062797		0.052469		0.025149
0.059077		0.045553		0.023821
0.059561		0.047909		0.024983
0.059774		0.047766		0.023759
0.057469		0.045622		0.02386

0.0602334		0.047377		0.0246388
