MergeSort:		QuickSort		IntroSort

0.013917		0.009799		0.005472
0.012588		0.009994		0.00493
0.011891		0.009348		0.004667
0.012076		0.010487		0.005087
0.012793		0.009407		0.004969
0.013634		0.009821		0.004819
0.012348		0.009287		0.004617
0.012399		0.009865		0.005116
0.012499		0.009657		0.00477
0.011887		0.009376		0.004865
0.011967		0.008991		0.005313
0.012073		0.009447		0.005251
0.012071		0.009413		0.004772
0.011808		0.009377		0.004966
0.011798		0.010249		0.004819
0.012047		0.009536		0.005011
0.012045		0.009377		0.004769
0.011837		0.009374		0.005289
0.011875		0.009984		0.004496
0.012302		0.008998		0.005058
0.011932		0.009378		0.004739
0.01174		0.008981		0.004861
0.012833		0.009226		0.005249
0.01207		0.008976		0.004878
0.011853		0.009381		0.004737
0.011831		0.009375		0.004976
0.011913		0.009372		0.004777
0.011855		0.009377		0.004993
0.011931		0.009604		0.004523
0.011949		0.009435		0.004866
0.011949		0.009407		0.004739
0.011931		0.009376		0.004902
0.011766		0.009447		0.004813
0.011797		0.009379		0.004836
0.011875		0.00941		0.00474
0.011959		0.009417		0.004882
0.012653		0.009536		0.005061
0.012073		0.009845		0.004783
0.011893		0.00948		0.00477
0.011821		0.009365		0.005085
0.012005		0.009454		0.004755
0.011863		0.009468		0.004912
0.011974		0.009633		0.004582
0.011923		0.009401		0.004992
0.011869		0.010291		0.004813
0.012262		0.009615		0.004946
0.01194		0.00946		0.004812
0.011776		0.009399		0.004923
0.011655		0.010225		0.004555
0.012531		0.009611		0.005093
0.011919		0.009464		0.004878
0.011889		0.009719		0.00499
0.012808		0.009429		0.005261
0.011988		0.009464		0.004927
0.012326		0.009664		0.004942
0.011942		0.010499		0.005095
0.012307		0.00956		0.004842
0.011952		0.009412		0.005057
0.012187		0.009219		0.004759
0.012264		0.010422		0.004992
0.012263		0.00928		0.004628
0.011933		0.009391		0.00491
0.011932		0.009704		0.004845
0.012536		0.009669		0.005604
0.01202		0.009405		0.004841
0.011886		0.009594		0.004936
0.011849		0.009427		0.005355
0.012251		0.009687		0.004812
0.011876		0.009398		0.004808
0.011864		0.009376		0.004911
0.011961		0.010072		0.004548
0.012253		0.008931		0.00487
0.011886		0.009394		0.004801
0.011789		0.008937		0.004824
0.012779		0.010048		0.005158
0.01201		0.009512		0.004818
0.011823		0.009489		0.005009
0.011983		0.009461		0.005129
0.01265		0.009519		0.004918
0.012018		0.008971		0.004874
0.011723		0.00937		0.004701
0.011615		0.009838		0.005192
0.012292		0.009842		0.005154
0.012005		0.009362		0.005076
0.011685		0.009426		0.00475
0.011585		0.010193		0.004836
0.012343		0.009313		0.004489
0.011781		0.009372		0.004982
0.011808		0.009522		0.004588
0.0128		0.008928		0.004838
0.012084		0.009442		0.004743
0.011787		0.009373		0.004968
0.011892		0.009394		0.004693
0.012498		0.00893		0.005622
0.012007		0.009571		0.004843
0.011781		0.009622		0.004965
0.011479		0.010294		0.00481
0.011972		0.009375		0.004846
0.012037		0.009411		0.004765
0.011712		0.009304		0.004956

0.0120731		0.0095211		0.00490808
