MergeSort:		QuickSort		IntroSort

0.591833		0.471466		0.254836
0.583808		0.47358		0.256175
0.584478		0.480059		0.260424
0.588678		0.471573		0.257335
0.582881		0.473025		0.255119
0.590503		0.474934		0.253297
0.590126		0.476924		0.256401
0.585795		0.47204		0.254262
0.591851		0.476595		0.253807
0.612958		0.497608		0.267949
0.597644		0.477502		0.25313
0.588493		0.47105		0.253278
0.586252		0.468859		0.257047
0.584918		0.468987		0.258951
0.596246		0.469608		0.255889
0.58278		0.47306		0.253302
0.585324		0.470406		0.253568
0.589568		0.477724		0.257011
0.585976		0.473844		0.254252
0.585877		0.473199		0.253018
0.592164		0.470391		0.254248
0.58888		0.47655		0.259705
0.599304		0.468169		0.25671
0.585123		0.470831		0.256549
0.586747		0.469634		0.254869
0.585584		0.480065		0.25263
0.586084		0.474955		0.25179
0.588167		0.473416		0.252735
0.589257		0.470953		0.254882
0.594013		0.47473		0.251487
0.584963		0.473078		0.253706
0.585095		0.470607		0.256797
0.585295		0.471187		0.259876
0.609291		0.502471		0.265803
0.584796		0.469933		0.25786
0.582768		0.47403		0.252931
0.583993		0.513789		0.27284
0.583682		0.473852		0.25263
0.585864		0.472775		0.252273
0.58568		0.472968		0.25336
0.60126		0.477638		0.253492
0.586197		0.472179		0.253442
0.585557		0.468596		0.256532
0.586592		0.468783		0.257784
0.599916		0.475138		0.254982
0.582663		0.473064		0.253689
0.584567		0.47041		0.253176
0.585506		0.47227		0.257086
0.597071		0.472171		0.254017
0.587571		0.472335		0.253371
0.58476		0.47405		0.252959
0.586814		0.475681		0.259766
0.588727		0.468454		0.25938
0.585973		0.471373		0.254977
0.583956		0.472501		0.256129
0.597618		0.482544		0.257197
0.584824		0.474552		0.252793
0.585343		0.473543		0.254133
0.585996		0.472346		0.254091
0.589206		0.477619		0.251571
0.585974		0.47228		0.25495
0.585844		0.469962		0.255762
0.586788		0.468965		0.255996
0.593959		0.471231		0.256191
0.583556		0.472736		0.275022
0.584252		0.472211		0.252868
0.585773		0.470405		0.258122
0.592298		0.472482		0.253252
0.58576		0.473811		0.251937
0.585585		0.471912		0.250805
0.585875		0.477679		0.258899
0.59082		0.471998		0.256481
0.584355		0.468014		0.25578
0.585144		0.469508		0.256008
0.588057		0.479702		0.257675
0.58722		0.473136		0.253401
0.586928		0.472066		0.252915
0.586003		0.472339		0.252672
0.594893		0.473994		0.252146
0.586343		0.470706		0.256749
0.587849		0.471967		0.256163
0.589916		0.500833		0.269154
0.592676		0.466597		0.253641
0.585309		0.469302		0.255055
0.592991		0.471618		0.253189
0.583912		0.476059		0.255936
0.588685		0.472919		0.252071
0.595002		0.472992		0.252722
0.597704		0.472425		0.252164
0.587409		0.479929		0.257057
0.596587		0.471022		0.253255
0.58821		0.470875		0.256939
0.585512		0.466849		0.257124
0.589368		0.479266		0.257689
0.582294		0.472832		0.253542
0.586007		0.473852		0.252732
0.586207		0.474885		0.252766
0.597453		0.474303		0.253851
0.586712		0.473325		0.253712
0.586227		0.473534		0.253669

0.588543		0.474122		0.255634
